_id,Text,Blanks,Drawn
113,This is your captain speaking. Fasten your seatbelts and prepare for  _ .,1,0
114,This month's Cosmo: “Spice up your sex life by bringing _ into the bedroom.”,1,0
115,"This reason on Man vs. Wild, Bear Grylls must survive in the depths of the Amazon with only _ and his wits.",1,0
116,"To prepare for his upcoming role, Daniel Day-Lewis immersed himself in the world of _ .",1,0
117,Tonight on 20/20: What you don't know about _ could kill you.,1,0
118,TSA guidelines now prohibit _ on airplanes.,1,0
119,Turns out that _ Man was neither the hero we needed nor wanted.,1,0
120,"Wake up, America. Christmas is under attack by secular liberals and their  _ .",1,0
121,War! What is it good for?,1,0
122,What am I giving up for Lent?,1,0
123,What are my parents hiding from me?,1,0
124,What brought the orgy to a grinding halt?,1,0
125,What did I bring back from Mexico?,1,0
126,What did the US airdrop to the children of Afghanistan?,1,0
127,What did Vin Diesel eat for dinner?,1,0
128,What do old people smell like?,1,0
129,What does Dick Cheney prefer?,1,0
130,What don't you want to find in your Chinese food?,1,0
131,What ended my last relationship?,1,0
132,What gets better with age?,1,0
133,What gives me uncontrollable gas?,1,0
134,What has been making life difficult at the nudist colony?,1,0
135,What helps Obama unwind?,1,0
136,What is Batman's guilty pleasure?,1,0
137,"What keeps me warm during the cold, cold winter?",1,0
138,What left this stain on my couch?,1,0
139,What never fails to liven up the party?,1,0
140,What people like  _ .,1,0
141,What will always get you laid?,1,0
142,What will I bring back in time to convince people that I am a powerful wizard?,1,0
143,"What would grandma find disturbing, yet oddly charming?",1,0
144,What's a girl's best friend?,1,0
145,What's my anti _ drug?,1,0
146,What's my secret power?,1,0
147,What's Teach for America using to inspire inner city students to succeed?,1,0
148,What's that smell?,1,0
149,What's that sound?,1,0
150,What's the crustiest?,1,0
151,What's the gift that keeps on giving?,1,0
152,What's the most emo?,1,0
153,What's the new fad diet?,1,0
154,What's the next Happy Meal toy?,1,0
155,What's there a ton of in heaven?,1,0
156,"When all else fails, I can always masturbate to  _ .",1,0
157,"When I am a billionaire, I shall erect a 50  foot statue to commemorate  _ .",1,0
158,"When I am President of the United States, I will create the Department of  _ .",1,0
159,"When I pooped, what came out of my butt?",1,0
160,"When Pharaoh remained unmoved, Moses called down a Plague of  _ .",1,0
161,"When the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on  _ .",1,0
162,"When you get right down to it, _  is just _ .",2,0
163,Why am I sticky?,1,0
164,Why can't I sleep at night?,1,0
165,Why do I hurt all over?,1,0
166,"With enough time and pressure, _  will turn into _ .",2,0
167,You haven't truly lived until you've experienced _ and _ at the same time.,2,0
